cd_cnpj,nu_ordem,fl_matriz,dt_abertura,nm_razao_social,cd_natureza_juridica,de_natureza_juridica
12305448000100,3,1,7/30/2010,GIOVANNA SOUZA DE LIMA DATE MEI,2135,EMPRESARIO INDIVIDUAL
12305448000100,0,1,7/30/2010,GIOVANNA SOUZA DE LIMA DATE MEI,2135,EMPRESARIO INDIVIDUAL
12305448000100,4,1,7/30/2010,GIOVANNA SOUZA DE LIMA DATE MEI,2135,EMPRESARIO INDIVIDUAL
12305448000100,2,1,7/30/2010,GIOVANNA SOUZA DE LIMA DATE MEI,2135,EMPRESARIO INDIVIDUAL
12305448000100,1,1,7/30/2010,GIOVANNA SOUZA DE LIMA DATE MEI,2135,EMPRESARIO INDIVIDUAL
14180365000150,2,1,8/24/2011,NETO JUNIOR REPRESENTACOES COMERCIAIS LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA
14180365000150,0,1,8/24/2011,NETO JUNIOR REPRESENTACOES COMERCIAIS LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA
14180365000150,1,1,8/24/2011,NETO JUNIOR REPRESENTACOES COMERCIAIS LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA
01144533000100,,1,4/4/1996,T P V CONSTRUCOES ELETRICAS LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA
01911869000150,,1,5/6/1997,LUIZA DE FATIMA CAMPOS DE SOUZA,2135,EMPRESARIO INDIVIDUAL
00243955000170,,1,10/14/1994,E C PINTO PRADO & CIA LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA
00890690000100,,1,10/27/1995,LUCIANO OLIVEIRA DA SILVA ME,2135,EMPRESARIO INDIVIDUAL
00887641000100,,1,9/15/1995,VZW LANCHES LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA
00092783000180,,1,6/25/1982,SAUNA NACOES UNIDAS LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA
09320876000190,,1,1/11/2008,CARLOS ALEXANDRE DE MORAIS ESTACIONAMENTO ME,2135,EMPRESARIO INDIVIDUAL
01846005000100,,1,4/15/1986,ANTONIO JOSE DA SILVA RUBIM,2135,EMPRESARIO INDIVIDUAL
05610297000120,0,1,4/24/2003,RECANTO DA MODA CALCADOS E CONFECCOES LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA
