cd_cnpj,fl_optante_simples,fl_optante_simei
cd_cnpj,fl_optante_simples,fl_optante_simei
12305448000100,1,1
14180365000150,0,0
01144533000100,0,0
01911869000150,0,0
00243955000170,0,0
00890690000100,0,0
00887641000100,0,0
00092783000180,0,0
09320876000190,0,0
01846005000100,0,0
05610297000120,0,0
15044857000180,1,1
15028623000140,1,1
07297742000170,1,0
15291845000150,1,0
15090404000190,1,0
90400888251650,0,0
12254288000100,0,0
04226709000160,0,0
16679748000100,0,0
07793444000170,0,0
03220549000180,1,0
01687525000100,0,0
11772974000100,1,0
05850538000290,0,0
86396371000150,1,0
52792652000100,0,0
15818386000110,0,0
01498181000190,1,0
80495856000700,0,0
02186486000120,1,0
65070146000230,0,0
02053352000130,0,0
06319255001170,0,0
10886199000150,1,0
12019359000190,0,0
06216178000150,0,0
12459122000120,1,1
10532571000120,0,0
11163415000100,0,0
20963351002230,0,0
55055743000150,0,0
11199599000150,1,0
09445384000120,1,0
87301180000120,0,0
08739568000130,0,0
04500550000120,0,0
12810402000130,1,0
05410317000110,0,0
12223579000130,1,0
96617865000170,0,0
08047579000150,0,0
09873296000120,0,0
08641806000170,0,0
09214498000160,0,0
12690066000130,0,0
07605227000100,0,0
94409778000100,0,0
21081120000130,0,0
77687663000150,1,0
13103110000120,1,1
84630474000450,0,0
37224847000160,0,0
11971190000100,1,1
07244034000170,0,0
12121605000110,0,0
12708033000170,1,1
62955505281310,0,0
21614193000140,0,0
05008116000190,0,0
07095151000110,0,0
15493137000100,1,1
09253073000160,1,0
05266699000150,1,0
05312857000160,0,0
05421886000160,0,0
42064295000100,0,0
01893515000120,0,0
15136062000100,0,0
17184201078970,0,0
15136583000150,0,0
15361199000150,0,0
15608045000110,0,0
07435464000170,0,0
08180392000120,0,0
02265502000170,0,0
04907539000180,0,0
12537293000120,0,0
09437544000190,0,0
10118122000130,0,0
03814359000190,0,0
61538567000100,0,0
04966436000190,0,0
64624521000100,0,0
77365765000150,0,0
00326297000180,0,0
14644627000190,1,0
13629575000110,0,0
15581916000150,1,1
03471229000100,0,0
06230514000110,1,0
14894610000190,1,1
05438357000170,0,0
13401477000120,1,0
72833999000160,1,0
12481765000170,1,0
11771732000100,0,0
10441320000130,1,0
10850466000130,0,0
10480447000240,1,0
15697292000130,0,0
15217444000150,1,0
15220854000150,1,1
15740742000120,0,0
08216974000380,0,0
01995195000110,0,0
03391792000160,0,0
08457794000390,0,0
14222846000180,1,0
07669934000160,0,0
06137179000100,0,0
01387360000150,0,0
09545298000190,0,0
40484867000850,0,0
48346043000150,1,0
13567044000140,1,0
13598884000170,0,0
04056122000150,0,0
04841694000140,0,0
66508078000120,0,0
11726294000150,1,0
11959342000150,1,1
34481390000180,0,0
12555119000100,1,1
07907566000140,1,0
01682355000170,0,0
08455770000130,0,0
74034307000140,0,0
14672094000150,1,1
02521644000150,1,0
14133477000150,1,0
06021074000190,0,0
07784989000110,0,0
14550570000160,1,1
14570622000160,1,0
01052752000240,0,0
09353200000100,1,0
09102759000150,0,0
09310725000150,0,0
08374337000170,0,0
08225677000130,1,0
13865327000410,1,0
15296818000170,1,1
08402134000140,0,0
59121624000100,1,0
92112333000120,0,0
08661339000140,0,0
14577061000120,1,1
14797432000180,0,0
16700845000120,0,0
14581505000100,1,1
15309170000120,0,0
14384803000100,0,0
