cd_cnpj,de_saude_tributaria,de_nivel_atividade,de_situacao,de_classif_natureza_juridica
12305448000100,VERDE,MEDIA,ATIVA,PRIVADO
14180365000150,AMARELO,MEDIA,ATIVA,PRIVADO
01144533000100,,INATIVA,BAIXADA,PRIVADO
01911869000150,,INATIVA,BAIXADA,PRIVADO
00243955000170,,INATIVA,BAIXADA,PRIVADO
00890690000100,,INATIVA,BAIXADA,PRIVADO
00887641000100,,INATIVA,BAIXADA,PRIVADO
00092783000180,,INATIVA,BAIXADA,PRIVADO
09320876000190,,INATIVA,BAIXADA,PRIVADO
01846005000100,,INATIVA,BAIXADA,PRIVADO
05610297000120,,INATIVA,BAIXADA,PRIVADO
15044857000180,AMARELO,MEDIA,ATIVA,PRIVADO
15028623000140,AMARELO,MEDIA,ATIVA,PRIVADO
07297742000170,AZUL,BAIXA,ATIVA,PRIVADO
15291845000150,AZUL,ALTA,ATIVA,PRIVADO
15090404000190,VERDE,ALTA,ATIVA,PRIVADO
90400888251650,VERDE,MEDIA,ATIVA,PRIVADO
12254288000100,LARANJA,MEDIA,ATIVA,PRIVADO
04226709000160,AZUL,MEDIA,ATIVA,PRIVADO
16679748000100,VERDE,ALTA,ATIVA,PRIVADO
07793444000170,AMARELO,MEDIA,ATIVA,PRIVADO
03220549000180,VERDE,ALTA,ATIVA,PRIVADO
01687525000100,AZUL,MEDIA,ATIVA,PRIVADO
11772974000100,AZUL,ALTA,ATIVA,PRIVADO
05850538000290,VERMELHO,BAIXA,ATIVA,PRIVADO
86396371000150,VERDE,ALTA,ATIVA,PRIVADO
52792652000100,AMARELO,MEDIA,ATIVA,PRIVADO
15818386000110,,INATIVA,BAIXADA,PRIVADO
01498181000190,VERDE,ALTA,ATIVA,PRIVADO
80495856000700,VERMELHO,BAIXA,ATIVA,PRIVADO
02186486000120,LARANJA,BAIXA,ATIVA,PRIVADO
65070146000230,AMARELO,MEDIA,ATIVA,PRIVADO
02053352000130,LARANJA,MEDIA,ATIVA,PRIVADO
06319255001170,VERDE,ALTA,ATIVA,PRIVADO
10886199000150,VERDE,ALTA,ATIVA,PRIVADO
12019359000190,AMARELO,MEDIA,ATIVA,PRIVADO
06216178000150,AZUL,MEDIA,ATIVA,PRIVADO
12459122000120,VERDE,MEDIA,ATIVA,PRIVADO
10532571000120,AMARELO,MEDIA,ATIVA,PRIVADO
11163415000100,AZUL,ALTA,ATIVA,PRIVADO
20963351002230,VERDE,ALTA,ATIVA,PRIVADO
55055743000150,VERMELHO,MEDIA,ATIVA,PRIVADO
11199599000150,VERDE,MEDIA,ATIVA,PRIVADO
09445384000120,VERDE,ALTA,ATIVA,PRIVADO
87301180000120,LARANJA,MEDIA,ATIVA,PRIVADO
08739568000130,VERDE,ALTA,ATIVA,PRIVADO
04500550000120,LARANJA,MEDIA,ATIVA,PRIVADO
12810402000130,AMARELO,BAIXA,ATIVA,PRIVADO
05410317000110,,INATIVA,BAIXADA,PRIVADO
12223579000130,AZUL,MEDIA,ATIVA,PRIVADO
96617865000170,AZUL,MEDIA,ATIVA,PRIVADO
08047579000150,AMARELO,MEDIA,ATIVA,PRIVADO
09873296000120,,INATIVA,BAIXADA,PRIVADO
08641806000170,,INATIVA,BAIXADA,PRIVADO
09214498000160,,INATIVA,BAIXADA,PRIVADO
12690066000130,AZUL,ALTA,ATIVA,PRIVADO
07605227000100,,INATIVA,BAIXADA,PRIVADO
94409778000100,LARANJA,BAIXA,ATIVA,PRIVADO
21081120000130,LARANJA,MEDIA,ATIVA,PRIVADO
77687663000150,VERDE,ALTA,ATIVA,PRIVADO
13103110000120,AMARELO,BAIXA,ATIVA,PRIVADO
84630474000450,VERDE,MEDIA,ATIVA,PRIVADO
37224847000160,LARANJA,BAIXA,ATIVA,PRIVADO
11971190000100,AMARELO,MEDIA,ATIVA,PRIVADO
07244034000170,AZUL,ALTA,ATIVA,PRIVADO
12121605000110,VERDE,MEDIA,ATIVA,PRIVADO
12708033000170,AMARELO,BAIXA,ATIVA,PRIVADO
62955505281310,VERMELHO,MEDIA,ATIVA,PRIVADO
21614193000140,,INATIVA,BAIXADA,PRIVADO
05008116000190,LARANJA,BAIXA,ATIVA,PRIVADO
07095151000110,LARANJA,MEDIA,ATIVA,PRIVADO
15493137000100,VERDE,MEDIA,ATIVA,PRIVADO
09253073000160,AZUL,MEDIA,ATIVA,PRIVADO
05266699000150,AZUL,ALTA,ATIVA,PRIVADO
05312857000160,,INATIVA,BAIXADA,PRIVADO
05421886000160,,INATIVA,BAIXADA,PRIVADO
