FieldName	TableName
divisao2dig	dimensao_atividade
cd_cnpj	dimensao_atividade
cd_cnpj	dimensao_empresas
cd_cnpj	dimensao_localizacao
cd_cnpj	dimensao_tributos
cd_cnpj	dimensao_veiculos
cd_cnpj	fato
cd_ramo_atividade	dimensao_atividade
de_ramo_atividade	dimensao_atividade
Ramo de Atividade	dimensao_atividade
Divisões	dimensao_atividade
nu_ordem	dimensao_empresas
fl_matriz	dimensao_empresas
dt_abertura	dimensao_empresas
nm_razao_social	dimensao_empresas
cd_natureza_juridica	dimensao_empresas
de_natureza_juridica	dimensao_empresas
nm_logradouro	dimensao_localizacao
nu_logradouro	dimensao_localizacao
cd_cep	dimensao_localizacao
nm_bairro	dimensao_localizacao
nm_municipio	dimensao_localizacao
sg_uf	dimensao_localizacao
vl_latitude	dimensao_localizacao
vl_longitude	dimensao_localizacao
fl_optante_simples	dimensao_tributos
fl_optante_simei	dimensao_tributos
vl_total_veiculos_antt	dimensao_veiculos
vl_total_veiculos_leves	dimensao_veiculos
vl_total_veiculos_pesados	dimensao_veiculos
de_saude_tributaria	fato
de_nivel_atividade	fato
de_situacao	fato
de_classif_natureza_juridica	fato
